source,target,relation,relation_zh,evidence,source_doc,source_url,count,weight,color
raw_cause:光幕坏了已停梯 ，已预约明天早上更换,category:door_system_fault,CATEGORIZED_AS,归类为,光幕坏了已停梯 ，已预约明天早上更换,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕坏了已经申领，用户同意停梯更换光幕再开启,category:door_system_fault,CATEGORIZED_AS,归类为,光幕坏了已经申领，用户同意停梯更换光幕再开启,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕坏了要跟换光幕 三包期电梯,category:door_system_fault,CATEGORIZED_AS,归类为,光幕坏了要跟换光幕 三包期电梯,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕坏了让王管领了,category:door_system_fault,CATEGORIZED_AS,归类为,光幕坏了让王管领了,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕坏了需更换，没停梯,category:door_system_fault,CATEGORIZED_AS,归类为,光幕坏了需更换，没停梯,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕坏了，先停了,category:door_system_fault,CATEGORIZED_AS,归类为,光幕坏了，先停了,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕坏了，客户装修拉货卡门就死机,category:door_system_fault,CATEGORIZED_AS,归类为,光幕坏了，客户装修拉货卡门就死机,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕坏了，等材料,category:door_system_fault,CATEGORIZED_AS,归类为,光幕坏了，等材料,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕坏等用户配件，停梯,category:door_system_fault,CATEGORIZED_AS,归类为,光幕坏等用户配件，停梯,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕坏，停梯等配件,category:door_system_fault,CATEGORIZED_AS,归类为,光幕坏，停梯等配件,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕太脏,category:door_system_fault,CATEGORIZED_AS,归类为,光幕太脏,local:fau_rep.xls,,2,0.002421307506053269,#dc2626
raw_cause:光幕太脏 已恢复正常,category:door_system_fault,CATEGORIZED_AS,归类为,光幕太脏 已恢复正常,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕太脏导致不关门，已正常。,category:door_system_fault,CATEGORIZED_AS,归类为,光幕太脏导致不关门，已正常。,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕太脏门关不上，已处理,category:door_system_fault,CATEGORIZED_AS,归类为,光幕太脏门关不上，已处理,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕太脏，处理完毕,category:door_system_fault,CATEGORIZED_AS,归类为,光幕太脏，处理完毕,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕太脏，已清理恢复,category:door_system_fault,CATEGORIZED_AS,归类为,光幕太脏，已清理恢复,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕幢,category:door_system_fault,CATEGORIZED_AS,归类为,光幕幢,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕感应不良,category:door_system_fault,CATEGORIZED_AS,归类为,光幕感应不良,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕挡久了保护了，客户使用不良,category:door_system_fault,CATEGORIZED_AS,归类为,光幕挡久了保护了，客户使用不良,local:fau_rep.xls,,2,0.002421307506053269,#dc2626
raw_cause:光幕挡门太久保护了,category:human_obstruction,CATEGORIZED_AS,归类为,光幕挡门太久保护了,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕接触不良导致有时候不关门，暂时已处理，还有待观察，,category:door_system_fault,CATEGORIZED_AS,归类为,光幕接触不良导致有时候不关门，暂时已处理，还有待观察，,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕故障需要走三包更换，先停梯,category:door_system_fault,CATEGORIZED_AS,归类为,光幕故障需要走三包更换，先停梯,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕有灰,category:door_system_fault,CATEGORIZED_AS,归类为,光幕有灰,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕条脏了导致电梯不关门,category:door_system_fault,CATEGORIZED_AS,归类为,光幕条脏了导致电梯不关门,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕积灰,category:door_system_fault,CATEGORIZED_AS,归类为,光幕积灰,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕线接触不良,category:door_system_fault,CATEGORIZED_AS,归类为,光幕线接触不良,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕脏,category:door_system_fault,CATEGORIZED_AS,归类为,光幕脏,local:fau_rep.xls,,2,0.002421307506053269,#dc2626
raw_cause:光幕脏 已清理,category:door_system_fault,CATEGORIZED_AS,归类为,光幕脏 已清理,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕脏了,category:door_system_fault,CATEGORIZED_AS,归类为,光幕脏了,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
